name	x	y	z
EEG001	-7.26	4.36	1.94
EEG002	9.75	0.24	4.51
EEG003	-7.62	-3.68	1.76
EEG004	7.19	5.12	3.78
EEG005	8.21	3.32	6.45
EEG006	8.60	0.16	7.98
EEG007	8.14	-3.15	6.98
EEG008	7.35	-4.89	4.09
EEG009	5.55	5.83	3.65
EEG010	6.14	5.48	5.90
EEG011	6.45	4.29	7.87
EEG012	6.48	2.36	9.57
EEG013	6.60	0.04	10.10
EEG014	5.79	-2.26	9.93
EEG015	5.73	-4.03	8.52
EEG016	5.53	-5.22	6.56
EEG017	4.85	-5.95	4.02
EEG018	2.60	6.79	0.86
EEG019	2.91	6.60	3.56
EEG020	3.30	6.48	6.51
EEG021	3.33	4.99	9.11
EEG022	3.55	3.02	10.88
EEG023	2.82	0.26	11.65
EEG024	2.59	-2.66	10.97
EEG025	2.50	-4.93	9.38
EEG026	2.52	-6.39	6.69
EEG027	2.23	-6.68	4.21
EEG028	2.61	-6.84	1.03
EEG029	0.72	6.61	1.04
EEG030	0.02	7.11	3.95
EEG031	0.29	6.89	7.03
EEG032	0.21	5.45	9.78
EEG033	0.35	2.76	11.70
EEG034	-0.25	0.26	12.34
EEG035	-0.27	-2.65	11.65
EEG036	-0.31	-5.13	9.97
EEG037	-0.20	-6.59	7.30
EEG038	-0.37	-7.22	3.90
EEG039	0.68	-6.73	1.08
EEG040	-3.38	6.94	0.61
EEG041	-2.76	6.96	3.99
EEG042	-2.79	6.70	7.37
EEG043	-2.68	5.31	9.93
EEG044	-2.75	3.06	11.54
EEG045	-3.42	0.03	11.85
EEG046	-3.32	-2.86	11.23
EEG047	-3.29	-5.06	9.52
EEG048	-3.05	-6.27	7.28
EEG049	-3.33	-6.48	4.06
EEG050	-3.44	-6.36	1.12
EEG051	-5.40	5.77	1.58
EEG052	-5.19	6.02	4.89
EEG053	-5.38	5.70	6.96
EEG054	-5.62	4.30	8.94
EEG055	-5.55	2.42	10.21
EEG056	-5.97	-0.04	10.21
EEG057	-5.73	-2.45	9.93
EEG058	-5.78	-4.10	8.70
EEG059	-5.59	-5.31	6.62
EEG060	-5.64	-5.62	4.39
EEG061	n/a	n/a	n/a
EEG062	n/a	n/a	n/a
EEG063	n/a	n/a	n/a
EEG064	n/a	n/a	n/a
EEG065	-5.74	-5.40	0.99
EEG066	-7.38	4.81	4.91
EEG067	-7.63	3.20	7.53
EEG068	-8.00	-0.06	7.91
EEG069	-7.83	-2.78	7.10
EEG070	-7.68	-4.17	4.73
EEG071	-8.67	2.85	5.19
EEG072	-9.04	0.27	5.02
EEG073	-8.76	-2.50	4.94
EEG074	-9.05	0.32	1.80
