onset	duration	sample	trial_type	response_time	stim_file	value	face_type	event_type	event_order	trial_dist	time_dist
23.714	n/a	n/a	unfamiliar_new	n/a	u072.bmp	13	unfamiliar	faces	1	0	0
24.49945455	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
26.90490909	n/a	n/a	unfamiliar_second_early	n/a	u072.bmp	14	unfamiliar	faces	2	1	3.1909
27.59127273	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
30.22945455	n/a	n/a	famous_new	n/a	f124.bmp	5	famous	faces	1	0	0
31.16945455	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
33.52036364	n/a	n/a	unfamiliar_new	n/a	u063.bmp	13	unfamiliar	faces	1	0	0
34.32490909	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
36.67763636	n/a	n/a	unfamiliar_second_early	n/a	u063.bmp	14	unfamiliar	faces	2	1	3.1573
37.57309091	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
39.88490909	n/a	n/a	unfamiliar_new	n/a	u085.bmp	13	unfamiliar	faces	1	0	0
41.124	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
43.15945455	n/a	n/a	unfamiliar_second_early	n/a	u085.bmp	14	unfamiliar	faces	2	1	3.2745
43.89218182	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
46.45036364	n/a	n/a	famous_new	n/a	f148.bmp	5	famous	faces	1	0	0
47.144	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
49.574	n/a	n/a	scrambled_new	n/a	s144.bmp	17	scrambled	faces	1	0	0
50.35127273	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
52.83127273	n/a	n/a	scrambled_second_early	n/a	s144.bmp	18	scrambled	faces	2	1	3.2573
53.57672727	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
56.02218182	n/a	n/a	famous_new	n/a	f105.bmp	5	famous	faces	1	0	0
56.85581818	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
59.16309091	n/a	n/a	famous_second_late	n/a	f124.bmp	7	famous	faces	2	9	28.9336
60.18218182	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
62.30309091	n/a	n/a	unfamiliar_new	n/a	u003.bmp	13	unfamiliar	faces	1	0	0
63.21854545	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
65.47763636	n/a	n/a	unfamiliar_second_early	n/a	u003.bmp	14	unfamiliar	faces	2	1	3.1745
66.08672727	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
68.76854545	n/a	n/a	unfamiliar_new	n/a	u083.bmp	13	unfamiliar	faces	1	0	0
69.60490909	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
72.02581818	n/a	n/a	scrambled_new	n/a	s026.bmp	17	scrambled	faces	1	0	0
72.69309091	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
75.19945455	n/a	n/a	famous_second_late	n/a	f148.bmp	7	famous	faces	2	9	28.7491
75.90036364	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
78.32309091	n/a	n/a	scrambled_new	n/a	s047.bmp	17	scrambled	faces	1	0	0
79.32581818	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
81.48036364	n/a	n/a	scrambled_second_early	n/a	s047.bmp	18	scrambled	faces	2	1	3.1573
82.17854545	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
84.67127273	n/a	n/a	scrambled_new	n/a	s101.bmp	17	scrambled	faces	1	0	0
85.58854545	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
87.81218182	n/a	n/a	scrambled_second_early	n/a	s101.bmp	18	scrambled	faces	2	1	3.1409
88.49672727	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
91.06945455	n/a	n/a	famous_second_late	n/a	f105.bmp	7	famous	faces	2	11	35.0473
91.81672727	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
94.22672727	n/a	n/a	famous_new	n/a	f081.bmp	5	famous	faces	1	0	0
94.98127273	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
97.334	n/a	n/a	famous_new	n/a	f128.bmp	5	famous	faces	1	0	0
98.03127273	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
100.5912727	n/a	n/a	unfamiliar_second_late	n/a	u083.bmp	15	unfamiliar	faces	2	10	31.8227
101.4376364	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
103.7149091	n/a	n/a	unfamiliar_new	n/a	u114.bmp	13	unfamiliar	faces	1	0	0
105.0958182	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
106.9894545	n/a	n/a	unfamiliar_second_early	n/a	u114.bmp	14	unfamiliar	faces	2	1	3.2745
107.794	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
110.1803636	n/a	n/a	scrambled_second_late	n/a	s026.bmp	19	scrambled	faces	2	12	38.1545
111.0830909	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
113.4376364	n/a	n/a	unfamiliar_new	n/a	u122.bmp	13	unfamiliar	faces	1	0	0
114.2485455	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
116.6785455	n/a	n/a	unfamiliar_second_early	n/a	u122.bmp	14	unfamiliar	faces	2	1	3.2409
117.3067273	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
119.8521818	n/a	n/a	famous_new	n/a	f015.bmp	5	famous	faces	1	0	0
